"id","me","tema","enunciado","alternativa_a","alternativa_b","alternativa_c","alternativa_d","correta","explicacao"
"ed27cd83-568f-470d-bd1e-55b45eaba112","ME1","Qual o principal mecanismo de ação dos anestésicos","Qual o principal mecanismo de ação dos anestésicos locais?","Bloqueio dos canais de cálcio","Bloqueio dos canais de sódio","Ativação dos receptores GABA","Inibição dos receptores NMDA","B",""
"082f1b38-0624-4cfb-87e4-d2cb5b023d2c","ME1","Qual anestésico local possui menor duração de ação","Qual anestésico local possui menor duração de ação?","Bupivacaína","Ropivacaína","Lidocaína","Tetracaína","C",""
"1851d814-d5b2-4d71-9145-603eea6cdfa0","ME1","Qual estrutura é atravessada na punção peridural l","Qual estrutura é atravessada na punção peridural lombar?","Pia-máter","Aracnoide","Ligamento amarelo","Medula espinhal","C",""
"413c65ba-7699-4125-8cd4-00e07d18bd0e","ME1","Qual é a principal complicação imediata da anestes","Qual é a principal complicação imediata da anestesia raquidiana?","Hipertensão","Hipotensão arterial","Hiperglicemia","Broncoespasmo","B",""
"e3419ce8-8263-4f07-ab0f-9a2cd01a3506","ME1","Qual nervo é bloqueado no bloqueio interescalênico","Qual nervo é bloqueado no bloqueio interescalênico?","Nervo femoral","Plexo braquial","Nervo tibial","Nervo facial","B",""
"aeae2fc4-1fe2-445d-8180-accbb6cd243d","ME1","Qual anestésico local está mais associado à metahe","Qual anestésico local está mais associado à metahemoglobinemia?","Lidocaína","Prilocaína","Bupivacaína","Ropivacaína","B",""
"b3c12d78-1a9c-4b18-8e68-e5c08bc3d6a8","ME1","Qual o principal objetivo da analgesia multimodal?","Qual o principal objetivo da analgesia multimodal?","Aumentar consumo de opioides","Reduzir efeitos adversos e melhorar analgesia","Substituir anestesia geral","Produzir sedação profunda","B",""
"ca670aa2-cd5b-42b4-83c2-b4744c6d701e","ME1","Qual é o dermátomo aproximado necessário para cesa","Qual é o dermátomo aproximado necessário para cesariana sob raquianestesia?","T12","T10","T6","T4","D",""
"f32536cc-d841-47ed-a260-50735feba758","ME1","Qual complicação é mais frequente após bloqueio in","Qual complicação é mais frequente após bloqueio interescalênico?","Pneumotórax bilateral","Paralisia frênica","Lesão medular","Hipertensão pulmonar","B",""
"84a5c2b0-2164-4ee5-a063-340bb9835f68","ME1","Qual droga pode ser adicionada ao anestésico local","Qual droga pode ser adicionada ao anestésico local para prolongar bloqueio regional?","Atropina","Adrenalina","Flumazenil","Naloxona","B",""
"f9488fc7-8487-436e-bae7-631faf99c96f","ME1","Qual nervo é responsável pela inervação motora pri","Qual nervo é responsável pela inervação motora principal do diafragma?","Vago","Frênico","Hipoglosso","Facial","B",""
"ff3f5c07-5528-44f7-b497-d771b35756c1","ME1","Qual o principal efeito adverso da morfina neuraxi","Qual o principal efeito adverso da morfina neuraxial?","Hipertensão","Depressão respiratória tardia","Hiperglicemia","Arritmia ventricular","B",""
