id,me,tema,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,correta,explicacao,justificativa_a,justificativa_b,justificativa_c,justificativa_d
sim-me2simulado1trimestreprovaa30qpontos2023html-10,ME2,,"Paciente de 68 anos, cardiopata, submetido a cirurgia de revascularização do miocárdio. Monitorização com cateter de Swan-Ganz mostra: PAP = 42/18 mmHg, POAP = 22 mmHg, DC = 2,8 L/min, RVS = 2000 dyn·s·cm⁻⁵, SvO₂ = 58%.

Qual é o diagnóstico hemodinâmico e a conduta inicial mais adequada?",Choque distributivo; vasopressor,Insuficiência ventricular esquerda com baixo débito; considerar inotrópico (dobutamina),Hipovolemia; expansão volêmica agressiva,Tamponamento cardíaco; pericardiocentese imediata || E) Choque obstrutivo por TEP; anticoagulação,A,Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-11,ME2,,"Durante anestesia geral para colecistectomia laparoscópica, o BIS cai de 55 para 25 após bolus de propofol. O cirurgião inicia o pneumoperitônio e a SpO₂ cai para 92%. A capnografia mostra aumento abrupto do EtCO₂ de 35 para 52 mmHg.

Qual é a interpretação mais correta do valor de BIS = 25 neste contexto?","Nível anestésico excessivo/profundo, aumentando risco de despertar tardio e hipotensão",Nível adequado de anestesia para cirurgia laparoscópica,Indicativo de isquemia cerebral intraoperatória,Artefato por uso de eletrocautério; ignorar o valor || E) BIS 25 é o alvo ideal durante indução anestésica,A,Q10A Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-12,ME2,,"Paciente submetida a endarterectomia de carótida direita sob anestesia geral. O NIRS cerebral mostra queda de rSO₂ no hemisfério ipsilateral de 68% para 49% (queda > 20% do basal) durante o clampeamento carotídeo.

Qual é a interpretação e conduta mais adequada?",Valor normal; manter conduta atual,Hipóxia cerebral focal; considerar shunt carotídeo e otimizar pressão de perfusão cerebral,Hiperemia de reperfusão; reduzir pressão arterial imediatamente,Artefato do sensor; reposicionar eletrodo e aguardar || E) Vasoespasmo cerebral difuso; administrar nimodipina,B,Q11B Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-13,ME2,,"Na monitorização invasiva de pressão arterial (PAI) em UTI, a linha arterial radial apresenta ondas amortecidas (dampened waveform) com valores de PA sistólica sub-estimados. Ao realizar o teste de flush rápido (fast flush test), há apenas uma oscilação antes do retorno à linha de base.

O que indica esse achado e como corrigir?","Sobre-amortecimento (overdamping); verificar bolhas de ar, coágulo ou dobra no cateter/tubo",Sob-amortecimento (underdamping); adicionar mais extensão ao circuito,Frequência natural adequada; nenhuma correção necessária,Spasmo arterial; remover cateter e puncionar outro sítio || E) Calibração incorreta do transdutor; rezerar o sistema,A,Q12A Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-14,ME2,,"Durante cirurgia cardíaca, o ecocardiograma transesofágico (ETE) revela nova hipocinesia da parede posterior e inferior do ventrículo esquerdo após saída de circulação extracorpórea. O paciente apresenta hipotensão e débito cardíaco baixo.

Qual artéria coronária é mais provavelmente responsável por este achado ecocardiográfico?",Artéria coronária esquerda (tronco comum),Artéria descendente anterior (DA),Artéria circunflexa (CX) ou coronária direita (CD),Artéria diagonal || E) Artéria septal,C,Q13C Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-15,ME2,,"Utilizando método de termodiluição transpulmonar (PiCCO), paciente séptico apresenta: ITBV = 600 mL/m², EVLW = 14 mL/kg, VVS = 18%, DC = 7,2 L/min, RVS baixa.

Qual é a interpretação hemodinâmica mais correta?",Choque cardiogênico com edema pulmonar; necessita inotrópico,Choque distributivo (séptico) com edema pulmonar e hipovolemia relativa; responsivo a volume,Normovolemia com função cardíaca preservada; manter observação,Tamponamento pericárdico; pericardiocentese de urgência || E) Choque obstrutivo por pneumotórax hipertensivo; descompressão imediata,B,Q14B Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-16,ME2,,"Em paciente sob ventilação mecânica com volume corrente de 8 mL/kg e FR de 14 rpm, o EtCO₂ é de 32 mmHg. A gasometria arterial mostra PaCO₂ = 48 mmHg. O gradiente P(a-Et)CO₂ está aumentado.

Qual é a principal causa desse gradiente aumentado neste contexto clínico?",Hipoventilação alveolar pura,Aumento do espaço morto alveolar (baixa relação V/Q),Hipercapnia por absorção de CO₂ do pneumoperitônio,Shunt intracardíaco direita-esquerda || E) Mal funcionamento do capnógrafo,B,Q15B Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-17,ME2,,"Paciente de 55 anos com histórico de DPOC grave será submetido a pneumonectomia direita. O anestesiologista planeja monitorização com cateter de Swan-Ganz para avaliar a resposta hemodinâmica após clampeamento da artéria pulmonar direita durante o período de prova de oclusão.

Qual parâmetro obtido pelo Swan-Ganz seria o mais preocupante durante o teste de oclusão da artéria pulmonar?","Queda do débito cardíaco para 4,5 L/min",Aumento da PAP média acima de 40 mmHg com queda do DC e elevação da RVP,Aumento da POAP para 14 mmHg,SvO₂ mantida em 70% || E) Leve aumento da FC para 90 bpm,B,Q16B Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-18,ME2,,"Um residente está realizando anestesia inalatória com circuito Mapleson D (Bain) em paciente adulto de 70 kg para cirurgia ortopédica de 2 horas sob ventilação espontânea. O fluxo de gás fresco recomendado para evitar reinalação de CO₂ é de 2–3x a ventilação-minuto.

Qual dos sistemas Mapleson é mais EFICIENTE para ventilação controlada, necessitando de menor fluxo de gás fresco?",Mapleson A,Mapleson B,Mapleson C,Mapleson D (e variante Bain) || E) Mapleson E (Ayre's T-piece),D,Q17D Alternativa E preservada junto da D para compatibilidade.,,,,
sim-me2simulado1trimestreprovaa30qpontos2023html-19,ME2,,"Durante anestesia com baixo fluxo (1 L/min) usando sevoflurano, o anestesiologista nota que o absorvedor de CO₂ (cal sodada) apresenta coloração avermelhada intensa e temperatura elevada ao toque. A concentração inspirada de sevoflurano está caindo progressivamente apesar de vaporizador em posição máxima.

Qual é a complicação mais provável e seu produto tóxico associado?",Vazamento no circuito; aumento de FiO₂,Degradação do sevoflurano pela cal sodada aquecida; produção de Composto A (nefrotóxico),Falha do vaporizador; trocar por vaporizador reserva,Saturação do absorvedor por CO₂; a cal está esgotada || E) Reação normal da cal sodada; sem toxicidade associada,B,Q18B Alternativa E preservada junto da D para compatibilidade.,,,,
