"id","me","tema","enunciado","alternativa_a","alternativa_b","alternativa_c","alternativa_d","correta","explicacao"
"1dbeeb67-fbb4-4da6-a8d7-6dba0680c05e","ME2","Neurocrítico","4º Trimestre ME2 - Em paciente neurocrítico, a pressão de perfusão cerebral (PPC) é calculada por:","PAM - PIC","PIC - PAM","PAM + PVC","DC x RVS","A","Correta. PPC corresponde à diferença entre pressão arterial média e pressão intracraniana.

A fórmula está invertida.

PVC não integra diretamente o cálculo.

Representa relação hemodinâmica sistêmica."
"0bc4eb13-6fc5-48e4-aa17-8b46c492e0d7","ME2","Sepse","4º Trimestre ME2 - Em paciente séptico refratário, qual parâmetro sugere hipoperfusão persistente?","Lactato elevado","PVC normal","FC abaixo de 60 bpm","ETCO2 elevado","A","Correta. Lactato persistentemente elevado associa-se à hipoperfusão.

PVC isolada não exclui choque.

Bradicardia não é marcador principal.

ETCO2 pode até reduzir em baixo fluxo."
"01e4924f-e8f7-484e-83f4-198499d6bbb9","ME2","Neuroanestesia","4º Trimestre ME2 - Em paciente com hipertensão intracraniana, qual medida deve ser evitada?","Cabeceira elevada","Hipercapnia","Sedação adequada","Normotermia","B","Elevação da cabeceira ajuda drenagem venosa.

Correta. Hipercapnia aumenta fluxo sanguíneo cerebral e PIC.

Sedação reduz metabolismo cerebral.

Normotermia é desejável."
"1f1c3f12-add6-4b70-9375-dc46d0158dd2","ME2","Monitorização Hemodinâmica","4º Trimestre ME2 - Qual parâmetro melhor reflete pré-carga ventricular esquerda em paciente ventilado mecanicamente?","PVC","PAM","Variação da pressão de pulso","Frequência cardíaca","C","PVC possui baixa acurácia isoladamente.

PAM não define pré-carga.

Correta. Parâmetros dinâmicos predizem responsividade volêmica.

FC é inespecífica."
"e4caea9f-b55d-42fa-84e7-b8f1b13b7ac6","ME2","Anestesia no Queimado","4º Trimestre ME2 - Em paciente queimado grave após 48h, o uso de succinilcolina aumenta risco de:","Hipocalcemia","Hipercalemia fatal","Hiponatremia","Acidose metabólica isolada","B","Hipocalcemia não é principal risco.

Correta. Up regulation de receptores nicotínicos aumenta saída de potássio.

Hiponatremia não é principal evento.

Acidose pode coexistir, mas não é principal risco."
"80eb2045-47d4-4088-a2e6-0ab8f97d501a","ME2","Monitorização","4º Trimestre ME2 - Qual monitorização é padrão ouro para débito cardíaco contínuo invasivo clássico?","PVC","Swan-Ganz com termodiluição","BIS","Capnografia","B","PVC não mede débito cardíaco.

Correta. O cateter de artéria pulmonar permite termodiluição.

BIS avalia hipnose.

Capnografia monitora ventilação."
"99d91005-56b4-4338-9593-350152240f4c","ME2","Posicionamento","4º Trimestre ME2 - Qual fator mais aumenta risco de neuropatia periférica perioperatória?","Posicionamento inadequado prolongado","FiO2 elevada","Uso de opioides","Hipotermia leve","A","Correta. Compressão e estiramento nervoso prolongados são principais causas.

FiO2 não é fator principal.

Opioides não causam neuropatia compressiva.

Hipotermia leve isolada raramente causa neuropatia."
"636c8313-6ff4-43b9-b220-672a87515b01","ME2","Cirurgia Carotídea","4º Trimestre ME2 - Durante anestesia para endarterectomia carotídea, qual monitorização auxilia avaliação indireta da perfusão cerebral?","Capnografia","EEG","PVC","Pressão vesical","B","Capnografia avalia ventilação.

Correta. EEG pode detectar isquemia cerebral intraoperatória.

PVC não monitora perfusão cerebral.

Pressão vesical não possui relação."
"5dd411ec-aeb9-4b2b-ab81-273000caaacf","ME2","Bloqueadores Neuromusculares","4º Trimestre ME2 - Qual bloqueador neuromuscular sofre degradação principalmente por Hofmann?","Rocurônio","Pancurônio","Cisatracúrio","Succinilcolina","C","Rocurônio depende de metabolismo hepático.

Pancurônio possui eliminação renal importante.

Correta. Cisatracúrio sofre eliminação independente de órgãos.

Succinilcolina é metabolizada por pseudocolinesterase."
"ea015a4c-bc98-4b0c-b1bb-a289731d506d","ME2","Awareness","4º Trimestre ME2 - Qual situação aumenta mais o risco de awareness intraoperatório?","Uso de BIS","Anestesia total intravenosa sem monitorização adequada","MAC adequada","Uso de halogenados","B","BIS auxilia prevenção.

Correta. TIVA exige monitorização rigorosa da profundidade anestésica.

MAC adequada reduz risco.

Halogenados possuem monitorização expirada."
"8d16ebab-adc1-4509-8a8d-b774458c2a3a","ME2","Anestesia Obstétrica","4º Trimestre ME2 - Em anestesia obstétrica, qual opioide intratecal oferece analgesia prolongada pós-cesariana?","Remifentanil","Morfina","Nalbufina","Codeína","B","Remifentanil possui ação ultracurta.

Correta. Morfina intratecal fornece analgesia prolongada.

Nalbufina possui menor duração.

Codeína não é utilizada intratecalmente."
"c82bdea3-5f24-401d-a013-5c6bc8e4fc75","ME2","Dor Aguda","4º Trimestre ME2 - Em analgesia multimodal, qual fármaco possui efeito poupador de opioides por antagonismo NMDA?","Dexmedetomidina","Cetamina","Atropina","Neostigmina","B","Dexmedetomidina atua em alfa-2.

Correta. Cetamina reduz sensibilização central via NMDA.

Atropina é antimuscarínico.

Neostigmina é anticolinesterásico."
"52a62c1b-481c-461d-9bbb-4b2b0f76f46e","ME2","Neurocrítico","4º Trimestre ME2 - Em paciente neurocirúrgico, a hiponatremia pode ocorrer por SIADH ou:","Diabetes insipidus","Síndrome perdedora de sal cerebral","Hiperaldosteronismo","Acidose tubular","B","DI causa hipernatremia.

Correta. Cerebral salt wasting é diagnóstico diferencial importante.

Hiperaldosteronismo causa retenção de sódio.

Não é principal associação."
"6f413db4-e245-4995-b7d2-cfe10b90f1fc","ME2","Anestesia Cardíaca","4º Trimestre ME2 - Em anestesia cardíaca, qual fármaco é mais útil para reduzir pós-carga rapidamente?","Noradrenalina","Nitroprussiato","Fenilefrina","Atropina","B","Noradrenalina aumenta vasoconstrição.

Correta. Nitroprussiato promove vasodilatação arterial potente.

Fenilefrina aumenta RVS.

Atropina não reduz pós-carga."
"f4afe74d-ac26-4faf-aab2-e567c91e491d","ME2","Cirurgia Robótica","4º Trimestre ME2 - Em anestesia para cirurgia robótica com Trendelenburg acentuado, qual complicação fisiológica pode ocorrer?","Redução da PIC","Edema facial e aumento da pressão intracraniana","Hipovolemia absoluta","Redução do ETCO2","B","Trendelenburg aumenta pressão venosa cerebral.

Correta. O posicionamento prolongado favorece congestão venosa.

Hipovolemia não é consequência direta.

ETCO2 geralmente aumenta."
"f970be6d-ce9f-4a32-9623-303b676982e7","ME2","Cirurgia Laparoscópica","4º Trimestre ME2 - Qual alteração ventilatória é esperada durante pneumoperitônio laparoscópico prolongado?","Redução do ETCO2","Aumento da complacência pulmonar","Aumento da pressão de vias aéreas","Hiperventilação espontânea","C","ETCO2 tende a aumentar.

A complacência geralmente reduz-se.

Correta. O aumento da pressão intra-abdominal eleva pressões ventilatórias.

Paciente geralmente encontra-se em ventilação controlada."
"f65e48c3-57c2-46c9-9d02-3c56e6ad5f5a","ME2","Anestesia no Trauma","4º Trimestre ME2 - Em trauma hemorrágico, qual estratégia integra o conceito de hipotensão permissiva?","PAM >120 mmHg","Reposição agressiva imediata","Evitar hipertensão antes do controle hemorrágico","Uso rotineiro de vasodilatadores","C","Valores elevados podem aumentar sangramento.

Reposição excessiva pode agravar coagulopatia.

Correta. Busca-se limitar sangramento até hemostasia.

Vasodilatadores não fazem parte da estratégia."
